mot	occurrences	documents
intelligence	193	101
artificial	168	103
systems	83	45
data	75	32
learning	67	40
which	63	45
paper	62	49
these	60	39
research	60	32
human	52	28
based	51	31
their	44	27
models	44	27
how	44	32
xai	39	10
model	39	19
been	38	28
such	38	29
machine	37	27
our	37	24
future	35	27
design	34	18
used	34	26
its	34	26
however	31	29
general	31	25
knowledge	30	17
into	30	24
also	29	23
more	29	22
system	28	20
decision	28	16
there	27	21
approaches	26	20
not	26	20
where	26	21
methods	26	18
intelligent	26	18
applications	26	21
new	26	18
different	26	19
use	25	18
potential	25	22
while	25	20
using	25	19
time	25	15
making	24	18
challenges	24	20
about	24	19
what	24	15
approach	24	20
development	24	18
recent	24	19
other	23	19
framework	23	14
tasks	23	15
through	22	19
analysis	22	17
two	22	20
researchers	22	20
language	22	13
technology	21	14
explainable	21	14
education	21	10
computer	21	16
network	20	7
performance	20	13
level	20	13
science	20	16
further	20	18
between	20	17
field	20	17
discuss	20	18
they	20	14
some	20	13
work	19	16
belief	19	5
current	19	14
decisions	19	14
techniques	19	15
results	19	15
theory	19	10
one	19	15
tools	18	13
management	18	5
complex	18	14
provide	18	15
technologies	18	13
often	18	16
need	18	15
many	17	15
agi	17	6
well	17	15
explainability	17	8
like	17	16
process	16	13
environment	16	11
both	16	14
over	16	14
present	16	14
than	16	13
explanations	16	9
processes	16	12
related	16	12
years	16	14
all	16	11
agent	16	10
various	15	14
may	15	10
games	15	6
key	15	11
information	15	12
driven	15	10
ethical	15	6
including	15	14
questions	15	11
explanation	15	10
edge	15	2
computational	14	10
address	14	13
only	14	14
study	14	11
review	14	10
increasing	14	9
each	14	12
main	14	11
existing	14	13
neural	14	7
even	14	11
social	13	12
focus	13	12
first	13	11
educational	13	6
real	13	10
domain	13	11
environments	13	8
survey	13	9
support	13	11
most	13	10
propose	13	12
world	13	10
task	13	6
directions	13	13
large	13	12
principles	13	7
providing	13	11
deep	13	8
community	13	11
self	13	7
change	13	8
within	13	13
ability	12	9
under	12	11
due	12	11
humans	12	7
evolution	12	7
major	12	11
public	12	9
engineering	12	9
complexity	12	7
studies	12	10
bias	12	5
problems	12	9
impact	12	10
common	12	9
agents	11	8
areas	11	8
core	11	8
but	11	10
among	11	8
when	11	10
literature	11	9
non	11	8
natural	11	10
overall	11	6
particular	11	9
interest	11	11
algorithms	11	9
traffic	11	1
integration	11	8
problem	11	6
transparency	11	6
nature	11	9
towards	11	11
individuals	11	5
out	11	9
effective	11	11
industry	11	7
was	11	11
number	11	11
important	11	10
evaluation	11	7
features	11	6
agriculture	10	2
autonomous	10	8
high	10	9
networks	10	7
given	10	10
chapter	10	6
specific	10	9
advances	10	9
presents	10	9
domains	10	8
way	10	10
discusses	10	10
theories	10	6
promising	10	9
society	10	7
solutions	10	9
become	10	10
improve	10	8
understand	10	10
role	10	9
technical	10	9
open	10	10
ways	10	9
focuses	10	9
better	10	8
computing	10	7
then	10	9
show	10	10
method	9	6
modeling	9	6
cyber	9	3
without	9	6
shapg	9	1
state	9	9
develop	9	8
were	9	8
conceptual	9	3
developed	9	9
here	9	8
few	9	9
environmental	9	5
insights	9	8
you	9	5
solution	9	5
finally	9	9
lead	9	8
them	9	9
include	9	8
constraints	9	5
concepts	9	8
ksl	9	1
